Cust_id,Date,Time,Name,Email,Phone,Sms-opt-out,Sms_opt_out
45,2023-11-30,06:15:15,Angela M.,angela@dundermifflin.com,570-555-5005,N,False
46,2024-02-14,10:40:30,Kevin M.,kevin@dundermifflin.com,570-555-5006,N,False
47,2024-04-01,15:05:45,Stanley H.,stanley@dundermifflin.com,570-555-5007,N,False
48,2023-03-18,09:30:00,Andy B.,andy@dundermifflin.com,570-555-5008,N,False
49,2023-05-25,13:55:15,Oscar M.,oscar@dundermifflin.com,570-555-5009,N,False
50,2023-08-10,18:20:30,Creed,creed@dundermifflin.com,570-555-5010,N,False
51,2023-03-22,07:15:20,Eleven,eleven@hawkins.ind,219-555-6001,N,False
52,2023-06-12,11:40:35,Mike W.,mike@hawkins.ind,219-555-6002,N,False
53,2023-09-05,16:05:50,Dustin H.,dustin@hawkins.ind,219-555-6003,N,False
54,2023-11-18,20:30:05,Lucas S.,lucas@hawkins.ind,219-555-6004,N,False
55,2024-02-28,08:55:20,Will B.,will@hawkins.ind,219-555-6005,N,False
56,2023-01-15,08:10:25,Leslie Knope,leslie@pawnee.gov,317-555-7001,N,False
57,2023-03-30,12:35:40,Ron Swanson,ron@pawnee.gov,317-555-7002,N,False
58,2023-06-18,17:00:55,Tom H.,tom@pawnee.gov,317-555-7003,N,False
59,2023-09-22,21:25:10,April L.,april@pawnee.gov,317-555-7004,Y,False
60,2023-12-05,07:50:25,Andy Dwyer,andy@pawnee.gov,317-555-7005,N,False
61,2023-02-10,09:20:15,Jake P.,jake@nypd99.com,718-555-8001,N,False
62,2023-04-25,13:45:30,Amy S.,amy@nypd99.com,718-555-8002,N,False
63,2023-07-08,18:10:45,Terry J.,terry@nypd99.com,718-555-8003,N,False
64,2023-09-30,22:35:00,Rosa D.,rosa@nypd99.com,718-555-8004,N,False
65,2023-12-18,07:00:15,Charles B.,charles@nypd99.com,718-555-8005,N,False
66,2023-02-15,08:20:10,Jeff Winger,jeff@greendale.edu,303-555-9001,N,False
67,2023-03-27,12:45:25,Britta P.,britta@greendale.edu,303-555-9002,N,False
68,2023-05-05,16:10:40,Abed Nadir,abed@greendale.edu,303-555-9003,N,False
69,2023-06-18,19:35:55,Troy Barnes,troy@greendale.edu,303-555-9004,N,False
70,2023-08-22,07:00:10,Annie Edison,annie@greendale.edu,303-555-9005,Y,False
71,2023-10-14,11:25:25,Shirley B.,shirley@greendale.edu,303-555-9006,N,False
72,2023-12-05,15:50:40,Pierce H.,pierce@greendale.edu,303-555-9007,N,False
73,2024-01-18,18:15:55,Dean Pelton,dean@greendale.edu,303-555-9008,N,False
74,2024-03-02,08:40:10,Ben Chang,chang@greendale.edu,303-555-9009,N,False
75,2024-04-15,13:05:25,Magnitude,pop@greendale.edu,303-555-9010,N,False
76,2023-01-20,09:30:15,Carrie Mathison,carrie@cia.gov,202-555-9101,N,False
77,2023-02-28,13:55:30,Nicholas Brody,brody@cia.gov,202-555-9102,N,False
78,2023-04-12,17:20:45,Saul B.,saul@cia.gov,202-555-9103,Y,False
79,2023-05-25,20:45:00,Peter Quinn,quinn@cia.gov,202-555-9104,N,False
80,2023-07-08,07:10:15,David Estes,estes@cia.gov,202-555-9105,N,False
81,2023-08-16,11:35:30,Jessica B.,jessica@cia.gov,202-555-9106,N,False
82,2023-10-02,15:00:45,Dana B.,dana@cia.gov,202-555-9107,N,False
83,2023-11-14,18:25:00,Max Piotrowski,max@cia.gov,202-555-9108,N,False
84,2023-12-27,08:50:15,Fara S.,fara@cia.gov,202-555-9109,N,False
85,2024-02-10,13:15:30,Dar Adal,dar@cia.gov,202-555-9110,N,False
86,2023-03-05,10:40:20,Will Truman,will@willandgrace.nyc,212-555-9201,N,False
87,2023-04-18,14:05:35,Grace Adler,grace@willandgrace.nyc,212-555-9202,N,False
88,2023-06-01,17:30:50,Jack McFarland,jack@willandgrace.nyc,212-555-9203,N,False
89,2023-07-15,20:55:05,Karen Walker,karen@willandgrace.nyc,212-555-9204,Y,False
90,2023-08-29,09:20:20,Rosario Salazar,rosario@willandgrace.nyc,212-555-9205,N,False
91,2023-10-12,13:45:35,Beverley L.,beverley@willandgrace.nyc,212-555-9206,N,False
92,2023-11-25,17:10:50,Elliot,elliot@willandgrace.nyc,212-555-9207,N,False
93,2024-01-08,20:35:05,Stan Walker,stan@willandgrace.nyc,212-555-9208,N,False
94,2024-02-21,07:00:20,Vince DAngelo,vince@willandgrace.nyc,212-555-9209,N,False
95,2024-04-05,11:25:35,Leo Markus,leo@willandgrace.nyc,212-555-9210,N,False
96,2023-01-12,08:15:10,Daria M.,daria@lawndale.high,973-555-9301,N,False
97,2023-02-26,12:40:25,Jane Lane,jane@lawndale.high,973-555-9302,N,False
98,2023-04-09,16:05:40,Quinn M.,quinn@lawndale.high,973-555-9303,N,False
99,2023-05-23,19:30:55,Trent Lane,trent@lawndale.high,973-555-9304,N,False
100,2023-07-06,07:55:10,Kevin T.,kevin@lawndale.high,973-555-9305,N,False
101,2023-08-19,11:20:25,Brittany T.,brittany@lawndale.high,973-555-9306,Y,False
102,2023-10-02,14:45:40,Jodie L.,jodie@lawndale.high,973-555-9307,N,False
103,2023-11-15,18:10:55,Mack M.,mack@lawndale.high,973-555-9308,N,False
104,2023-12-28,06:35:10,Helen M.,helen@lawndale.high,973-555-9309,N,False
105,2024-02-10,10:00:25,Jake M.,jake@lawndale.high,973-555-9310,N,False
106,2023-02-05,09:25:15,Bob Belcher,bob@bobsburgers.rest,201-555-9401,N,False
107,2023-03-19,13:50:30,Linda B.,linda@bobsburgers.rest,201-555-9402,N,False
108,2023-05-02,17:15:45,Tina B.,tina@bobsburgers.rest,201-555-9403,N,False
109,2023-06-16,20:40:00,Gene B.,gene@bobsburgers.rest,201-555-9404,N,False
110,2023-07-30,08:05:15,Louise B.,louise@bobsburgers.rest,201-555-9405,Y,False
111,2023-09-12,12:30:30,Teddy,teddy@bobsburgers.rest,201-555-9406,N,False
112,2023-10-25,15:55:45,Jimmy Pesto,jimmy@bobsburgers.rest,201-555-9407,N,False
113,2023-12-08,19:20:00,Mort,mort@bobsburgers.rest,201-555-9408,N,False
114,2024-01-21,06:45:15,Regular Sized Rudy,rudy@bobsburgers.rest,201-555-9409,N,False
115,2024-03-05,11:10:30,Gayle,gayle@bobsburgers.rest,201-555-9410,N,False
116,2023-01-10,08:00:00,Fred Rogers,misterrogers@neighborhood.org,412-555-9501,N,False
117,2023-02-22,12:25:15,Mr McFeely,speedydelivery@neighborhood.org,412-555-9502,N,False
118,2023-04-06,15:50:30,Lady Aberlin,ladyaberlin@neighborhood.org,412-555-9503,N,False
119,2023-05-19,19:15:45,King Friday,kingfriday@neighborhood.org,412-555-9504,N,False
120,2023-07-02,07:40:00,Daniel Tiger,daniel@neighborhood.org,412-555-9505,N,False
121,2023-08-15,11:05:15,X the Owl,xowl@neighborhood.org,412-555-9506,N,False
122,2023-09-28,14:30:30,Henrietta Pussycat,meow@neighborhood.org,412-555-9507,N,False
123,2023-11-11,17:55:45,Lady Elaine,ladyelaine@neighborhood.org,412-555-9508,Y,False
124,2023-12-24,21:20:00,Chef Brockett,chef@neighborhood.org,412-555-9509,N,False
125,2024-02-06,09:45:15,Handyman Negri,negri@neighborhood.org,412-555-9510,N,False
126,2023-01-25,08:30:20,Luke Spencer,luke@generalhospital.med,716-555-9601,N,False
127,2023-03-08,12:55:35,Laura Spencer,laura@generalhospital.med,716-555-9602,N,False
128,2023-04-21,16:20:50,Sonny Corinthos,sonny@generalhospital.med,716-555-9603,N,False
129,2023-06-04,19:45:05,Jason Morgan,jason@generalhospital.med,716-555-9604,N,False
130,2023-07-17,07:10:20,Carly C.,carly@generalhospital.med,716-555-9605,Y,False
131,2023-08-30,11:35:35,Elizabeth W.,elizabeth@generalhospital.med,716-555-9606,N,False
132,2023-10-13,15:00:50,Sam McCall,sam@generalhospital.med,716-555-9607,N,False
133,2023-11-26,18:25:05,Alexis D.,alexis@generalhospital.med,716-555-9608,N,False
134,2024-01-08,21:50:20,Maxie Jones,maxie@generalhospital.med,716-555-9609,N,False
135,2024-02-21,09:15:35,Anna Devane,anna@generalhospital.med,716-555-9610,N,False
136,2023-02-01,09:40:25,Victor Newman,victor@genoa.city,213-555-9701,N,False
137,2023-03-14,14:05:40,Nikki N.,nikki@genoa.city,213-555-9702,N,False
138,2023-04-27,17:30:55,Jack Abbott,jack@genoa.city,213-555-9703,N,False
139,2023-06-10,20:55:10,Ashley A.,ashley@genoa.city,213-555-9704,N,False
140,2023-07-23,08:20:25,Phyllis S.,phyllis@genoa.city,213-555-9705,Y,False
141,2023-09-05,12:45:40,Sharon N.,sharon@genoa.city,213-555-9706,N,False
142,2023-10-18,16:10:55,Nick Newman,nick@genoa.city,213-555-9707,N,False
143,2023-11-30,19:35:10,Billy Abbott,billy@genoa.city,213-555-9708,N,False
144,2024-01-12,07:00:25,Victoria N.,victoria@genoa.city,213-555-9709,N,False
145,2024-02-25,11:25:40,Adam Newman,adam@genoa.city,213-555-9710,N,False
146,2023-01-07,07:55:10,Richie C.,richie@arnoldsdrivein.diner,414-555-9801,N,False
147,2023-02-20,12:20:25,Arthur Fonzarelli,fonzie@arnoldsdrivein.diner,414-555-9802,N,False
148,2023-04-04,15:45:40,Potsie W.,potsie@arnoldsdrivein.diner,414-555-9803,N,False
149,2023-05-17,19:10:55,Ralph Malph,ralph@arnoldsdrivein.diner,414-555-9804,N,False
150,2023-06-30,06:35:10,Joanie C.,joanie@arnoldsdrivein.diner,414-555-9805,Y,False
151,2023-08-13,10:00:25,Howard C.,howard@arnoldsdrivein.diner,414-555-9806,N,False
152,2023-09-26,13:25:40,Marion C.,marion@arnoldsdrivein.diner,414-555-9807,N,False
153,2023-11-08,16:50:55,Chachi A.,chachi@arnoldsdrivein.diner,414-555-9808,N,False
154,2023-12-21,20:15:10,Al Delvecchio,al@arnoldsdrivein.diner,414-555-9809,N,False
155,2024-02-03,08:40:25,Jenny Piccalo,jenny@arnoldsdrivein.diner,414-555-9810,N,False
156,2023-03-12,08:10:15,Lt Columbo,columbo@lapd.gov,213-555-9901,N,False
157,2023-05-25,12:35:30,Sergeant Wilson,wilson@lapd.gov,213-555-9902,N,False
158,2023-08-08,17:00:45,Dog,dog@lapd.gov,213-555-9903,N,False
159,2023-10-21,21:25:00,Mrs Columbo,mrscolumbo@lapd.gov,213-555-9904,N,False
160,2023-12-04,07:50:15,Captain Sampson,sampson@lapd.gov,213-555-9905,Y,False
161,2024-02-16,11:15:30,Lieutenant Duffy,duffy@lapd.gov,213-555-9906,N,False
162,2023-01-29,15:40:45,Sergeant Kramer,kramer@lapd.gov,213-555-9907,N,False
163,2023-04-13,19:05:00,Commissioner Halperin,halperin@lapd.gov,213-555-9908,N,False
164,2023-06-26,08:30:15,Dr Ray Flemming,flemming@lapd.gov,213-555-9909,N,False
165,2023-09-09,12:55:30,Ken Franklin,franklin@lapd.gov,213-555-9910,N,False
166,2023-02-18,09:20:25,Earnest Marks,earn@paperboi.atl,404-555-1001,N,False
167,2023-03-31,13:45:40,Alfred Miles,paperboi@paperboi.atl,404-555-1002,N,False
168,2023-05-14,17:10:55,Darius,darius@paperboi.atl,404-555-1003,N,False
169,2023-06-27,20:35:10,Vanessa K.,van@paperboi.atl,404-555-1004,N,False
170,2023-08-10,08:00:25,Tracy,tracy@paperboi.atl,404-555-1005,Y,False
171,2023-09-23,12:25:40,Clark County,clark@paperboi.atl,404-555-1006,N,False
172,2023-11-06,15:50:55,Bibby,bibby@paperboi.atl,404-555-1007,N,False
173,2023-12-19,19:15:10,Lucas,lucas@paperboi.atl,404-555-1008,N,False
174,2024-02-01,07:40:25,Cristian,cristian@paperboi.atl,404-555-1009,N,False
175,2024-03-15,11:05:40,Sierra,sierra@paperboi.atl,404-555-1010,N,False
176,2023-01-02,08:30:15,Martin Payne,martin@wzhup.det,313-555-1101,N,False
177,2023-02-15,12:55:30,Gina Waters,gina@wzhup.det,313-555-1102,N,False
178,2023-03-28,17:20:45,Pamela James,pam@wzhup.det,313-555-1103,N,False
179,2023-05-11,20:45:00,Thomas M.,tommy@wzhup.det,313-555-1104,N,False
180,2023-06-24,07:10:15,Cole Brown,cole@wzhup.det,313-555-1105,Y,False
181,2023-08-07,11:35:30,Sheneneh,sheneneh@wzhup.det,313-555-1106,N,False
182,2023-09-20,15:00:45,Bruh-Man,bruhman@wzhup.det,313-555-1107,N,False
183,2023-11-03,18:25:00,Mama Payne,mama@wzhup.det,313-555-1108,N,False
184,2023-12-16,21:50:15,Stan Winters,stan@wzhup.det,313-555-1109,N,False
185,2024-01-29,09:15:30,Nipsey,nipsey@wzhup.det,313-555-1110,N,False
186,2023-02-25,09:50:20,Olivia Pope,olivia@oliviapopeandassociates.com,202-555-1201,N,False
187,2023-04-09,14:15:35,Fitzgerald Grant,fitz@oliviapopeandassociates.com,202-555-1202,N,False
188,2023-05-22,17:40:50,Mellie Grant,mellie@oliviapopeandassociates.com,202-555-1203,N,False
189,2023-07-05,21:05:05,Abby Whelan,abby@oliviapopeandassociates.com,202-555-1204,Y,False
190,2023-08-18,08:30:20,Huck,huck@oliviapopeandassociates.com,202-555-1205,N,False
191,2023-10-01,12:55:35,Quinn Perkins,quinn@oliviapopeandassociates.com,202-555-1206,N,False
192,2023-11-14,16:20:50,Cyrus Beene,cyrus@oliviapopeandassociates.com,202-555-1207,N,False
193,2023-12-27,19:45:05,David Rosen,david@oliviapopeandassociates.com,202-555-1208,N,False
194,2024-02-09,07:10:20,Jake Ballard,jake@oliviapopeandassociates.com,202-555-1209,N,False
195,2024-03-23,11:35:35,Marcus Walker,marcus@oliviapopeandassociates.com,202-555-1210,N,False
196,2023-01-17,08:05:10,Kermit,kermit@muppetstudios.com,212-555-1301,N,False
197,2023-03-02,12:30:25,Miss Piggy,misspiggy@muppetstudios.com,212-555-1302,N,False
198,2023-04-15,15:55:40,Fozzie Bear,fozzie@muppetstudios.com,212-555-1303,N,False
199,2023-05-28,19:20:55,Gonzo,gonzo@muppetstudios.com,212-555-1304,N,False
200,2023-07-11,07:45:10,Animal,animal@muppetstudios.com,212-555-1305,Y,False
201,2023-08-24,11:10:25,Rowlf,rowlf@muppetstudios.com,212-555-1306,N,False
202,2023-10-07,14:35:40,Scooter,scooter@muppetstudios.com,212-555-1307,N,False
203,2023-11-20,18:00:55,Statler,statler@muppetstudios.com,212-555-1308,N,False
204,2024-01-02,21:25:10,Waldorf,waldorf@muppetstudios.com,212-555-1309,N,False
205,2024-02-15,09:50:25,Swedish Chef,chef@muppetstudios.com,212-555-1310,N,False
206,2023-01-03,09:15:15,Will Smith,will@banksresidence.la,310-555-1401,N,False
207,2023-02-16,13:40:30,Carlton B.,carlton@banksresidence.la,310-555-1402,N,False
208,2023-03-29,17:05:45,Philip Banks,unclephil@banksresidence.la,310-555-1403,N,False
209,2023-05-12,20:30:00,Vivian Banks,auntviv@banksresidence.la,310-555-1404,N,False
210,2023-06-25,07:55:15,Hilary B.,hilary@banksresidence.la,310-555-1405,Y,False
211,2023-08-08,11:20:30,Ashley B.,ashley@banksresidence.la,310-555-1406,N,False
212,2023-09-21,14:45:45,Geoffrey,geoffrey@banksresidence.la,310-555-1407,N,False
213,2023-11-04,18:10:00,Jazz,jazz@banksresidence.la,310-555-1408,N,False
214,2023-12-17,21:35:15,Nicky B.,nicky@banksresidence.la,310-555-1409,N,False
215,2024-01-30,08:00:30,Lisa W.,lisa@banksresidence.la,310-555-1410,N,False
216,2023-02-07,08:40:20,Meredith Grey,meredith@seattlegrace.med,206-555-1501,N,False
217,2023-03-20,13:05:35,Derek Shepherd,mcdreamy@seattlegrace.med,206-555-1502,N,False
218,2023-05-02,16:30:50,Cristina Yang,cristina@seattlegrace.med,206-555-1503,N,False
219,2023-06-15,19:55:05,Alex Karev,alex@seattlegrace.med,206-555-1504,N,False
220,2023-07-28,07:20:20,Izzie Stevens,izzie@seattlegrace.med,206-555-1505,Y,False
221,2023-09-10,11:45:35,Miranda Bailey,bailey@seattlegrace.med,206-555-1506,N,False
222,2023-10-23,15:10:50,Richard Webber,webber@seattlegrace.med,206-555-1507,N,False
223,2023-12-06,18:35:05,Callie Torres,callie@seattlegrace.med,206-555-1508,N,False
224,2024-01-19,22:00:20,Jackson Avery,jackson@seattlegrace.med,206-555-1509,N,False
225,2024-03-03,09:25:35,April Kepner,april@seattlegrace.med,206-555-1510,N,False
226,2023-02-14,09:30:25,Dexter Morgan,dexter@miamimetro.gov,305-555-1601,N,False
227,2023-03-27,13:55:40,Debra Morgan,debra@miamimetro.gov,305-555-1602,N,False
228,2023-05-09,17:20:55,Rita B.,rita@miamimetro.gov,305-555-1603,N,False
229,2023-06-22,20:45:10,Angel Batista,angel@miamimetro.gov,305-555-1604,N,False
230,2023-08-05,08:10:25,Vince Masuka,vince@miamimetro.gov,305-555-1605,Y,False
231,2023-09-18,12:35:40,Maria LaGuerta,maria@miamimetro.gov,305-555-1606,N,False
232,2023-11-01,16:00:55,James Doakes,doakes@miamimetro.gov,305-555-1607,N,False
233,2023-12-14,19:25:10,Hannah McKay,hannah@miamimetro.gov,305-555-1608,N,False
234,2024-01-27,07:50:25,Harry Morgan,harry@miamimetro.gov,305-555-1609,N,False
235,2024-03-11,11:15:40,Lumen Pierce,lumen@miamimetro.gov,305-555-1610,N,False
236,2023-03-03,08:45:15,Piper Chapman,piper@litchfield.pen,607-555-1701,N,False
237,2023-04-16,13:10:30,Alex Vause,alex@litchfield.pen,607-555-1702,N,False
238,2023-05-29,16:35:45,Suzanne Warren,crazyeyes@litchfield.pen,607-555-1703,N,False
239,2023-07-12,20:00:00,Tasha Jefferson,tastyee@litchfield.pen,607-555-1704,N,False
240,2023-08-25,07:25:15,Nicky Nichols,nicky@litchfield.pen,607-555-1705,Y,False
241,2023-10-08,11:50:30,Red Reznikov,red@litchfield.pen,607-555-1706,N,False
242,2023-11-21,15:15:45,Lorna Morello,lorna@litchfield.pen,607-555-1707,N,False
243,2024-01-03,18:40:00,Dayanara Diaz,daya@litchfield.pen,607-555-1708,N,False
244,2024-02-16,22:05:15,Sophia Burset,sophia@litchfield.pen,607-555-1709,N,False
245,2024-03-31,09:30:30,Gloria Mendoza,gloria@litchfield.pen,607-555-1710,N,False
246,2023-01-20,09:55:20,Eleanor Shellstrop,eleanor@thegoodplace.afterlife,480-555-1801,N,False
247,2023-03-05,14:20:35,Chidi Anagonye,chidi@thegoodplace.afterlife,480-555-1802,N,False
248,2023-04-18,17:45:50,Tahani Al-Jamil,tahani@thegoodplace.afterlife,480-555-1803,N,False
249,2023-06-01,21:10:05,Jason Mendoza,jason@thegoodplace.afterlife,480-555-1804,N,False
250,2023-07-14,08:35:20,Michael,michael@thegoodplace.afterlife,480-555-1805,Y,False
251,2023-08-27,12:00:35,Janet,janet@thegoodplace.afterlife,480-555-1806,N,False
252,2023-10-10,15:25:50,Shawn,shawn@thegoodplace.afterlife,480-555-1807,N,False
253,2023-11-23,18:50:05,Vicky,vicky@thegoodplace.afterlife,480-555-1808,N,False
254,2024-01-05,22:15:20,Mindy St Claire,mindy@thegoodplace.afterlife,480-555-1809,N,False
255,2024-02-18,07:40:35,Bad Janet,badjanet@thegoodplace.afterlife,480-555-1810,N,False
256,2023-02-10,10:05:25,BoJack Horseman,bojack@hollywoo.net,323-555-1901,N,False
257,2023-03-23,14:30:40,Diane Nguyen,diane@hollywoo.net,323-555-1902,N,False
258,2023-05-06,17:55:55,Mr Peanutbutter,mrpb@hollywoo.net,323-555-1903,N,False
259,2023-06-19,21:20:10,Todd Chavez,todd@hollywoo.net,323-555-1904,N,False
260,2023-08-02,08:45:25,Princess Carolyn,pc@hollywoo.net,323-555-1905,Y,False
261,2023-09-15,12:10:40,Sarah Lynn,sarah@hollywoo.net,323-555-1906,N,False
262,2023-10-28,15:35:55,Hollyhock,hollyhock@hollywoo.net,323-555-1907,N,False
263,2023-12-11,19:00:10,Herb Kazzaz,herb@hollywoo.net,323-555-1908,N,False
264,2024-01-24,22:25:25,Gina Cazador,gina@hollywoo.net,323-555-1909,N,False
265,2024-03-08,07:50:40,Beatrice Horseman,beatrice@hollywoo.net,323-555-1910,N,False
266,2023-01-28,09:15:10,Michael Bluth,michael@bluthcompany.biz,949-555-2001,N,False
267,2023-03-12,13:40:25,Gob Bluth,gob@bluthcompany.biz,949-555-2002,N,False
268,2023-04-25,17:05:40,Lindsay F.,lindsay@bluthcompany.biz,949-555-2003,N,False
269,2023-06-08,20:30:55,Buster Bluth,buster@bluthcompany.biz,949-555-2004,N,False
270,2023-07-21,07:55:10,George Michael,gmichael@bluthcompany.biz,949-555-2005,Y,False
271,2023-09-03,11:20:25,Maeby F.,maeby@bluthcompany.biz,949-555-2006,N,False
272,2023-10-16,14:45:40,Tobias Fnke,tobias@bluthcompany.biz,949-555-2007,N,False
273,2023-11-29,18:10:55,Lucille Bluth,lucille@bluthcompany.biz,949-555-2008,N,False
274,2024-01-11,21:35:10,George Bluth Sr.,george@bluthcompany.biz,949-555-2009,N,False
275,2024-02-24,08:00:25,Ann Veal,her@bluthcompany.biz,949-555-2010,N,False
276,2023-02-15,10:25:15,Angela Abar,sisternight@keenecounty.police,918-555-2101,N,False
277,2023-03-30,14:50:30,Laurie Blake,laurie@keenecounty.police,918-555-2102,N,False
278,2023-05-13,18:15:45,Wade Tillman,lookingglass@keenecounty.police,918-555-2103,N,False
279,2023-06-26,21:40:00,Adrian Veidt,ozymandias@keenecounty.police,918-555-2104,N,False
280,2023-08-09,09:05:15,Cal Abar,cal@keenecounty.police,918-555-2105,Y,False
281,2023-09-22,13:30:30,Will Reeves,hoodedjustice@keenecounty.police,918-555-2106,N,False
282,2023-11-05,16:55:45,Lady Trieu,trieu@keenecounty.police,918-555-2107,N,False
283,2023-12-18,20:20:00,Joe Keene Jr.,keene@keenecounty.police,918-555-2108,N,False
284,2024-01-31,07:45:15,Red Scare,redscare@keenecounty.police,918-555-2109,N,False
285,2024-03-15,12:10:30,Pirate Jenny,jenny@keenecounty.police,918-555-2110,N,False
286,2023-01-01,08:00:00,Jean-Luc Picard,picard@enterprise.starfleet,1701-555-2201,N,False
287,2023-02-14,12:25:15,William Riker,riker@enterprise.starfleet,1701-555-2202,N,False
288,2023-03-27,15:50:30,Data,data@enterprise.starfleet,1701-555-2203,N,False
289,2023-05-10,19:15:45,Geordi La Forge,geordi@enterprise.starfleet,1701-555-2204,N,False
290,2023-06-23,07:40:00,Worf,worf@enterprise.starfleet,1701-555-2205,Y,False
291,2023-08-06,11:05:15,Deanna Troi,troi@enterprise.starfleet,1701-555-2206,N,False
292,2023-09-19,14:30:30,Beverly Crusher,crusher@enterprise.starfleet,1701-555-2207,N,False
293,2023-11-02,17:55:45,Wesley Crusher,wesley@enterprise.starfleet,1701-555-2208,N,False
294,2023-12-15,21:20:00,Tasha Yar,tasha@enterprise.starfleet,1701-555-2209,N,False
295,2024-01-28,09:45:15,Guinan,guinan@enterprise.starfleet,1701-555-2210,N,False
296,2023-02-08,09:10:25,Benjamin Sisko,sisko@ds9.starfleet,247-555-2301,N,False
297,2023-03-21,13:35:40,Kira Nerys,kira@ds9.starfleet,247-555-2302,N,False
298,2023-05-04,17:00:55,Odo,odo@ds9.starfleet,247-555-2303,N,False
299,2023-06-17,20:25:10,Jadzia Dax,dax@ds9.starfleet,247-555-2304,N,False
300,2023-07-30,08:50:25,Julian Bashir,bashir@ds9.starfleet,247-555-2305,Y,False
301,2023-09-12,12:15:40,Miles OBrien,obrien@ds9.starfleet,,,False
302,2023-02-14,08:15:25,Buffy Summers,buffy@sunnydale.high,805-555-1101,N,False
303,2023-04-28,12:40:50,Willow R.,willow@sunnydale.high,805-555-1102,N,False
